date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-08-02,PB,Pedras de Fogo,city,1222,22,True,28458,2511202,4294.04737,0.018
2020-08-02,PB,Pedro Régis,city,41,2,True,6089,2512721,673.34538,0.0488
2020-08-02,PB,Piancó,city,136,4,True,16075,2511301,846.03421,0.0294
2020-08-02,PB,Picuí,city,177,2,True,18703,2511400,946.37224,0.0113
2020-08-02,PB,Pilar,city,267,4,True,11917,2511509,2240.49677,0.015
2020-08-02,PB,Pilões,city,89,1,True,6635,2511608,1341.37151,0.0112
2020-08-02,PB,Pilõezinhos,city,228,1,True,4976,2511707,4581.99357,0.0044
2020-08-02,PB,Pirpirituba,city,246,2,True,10579,2511806,2325.36157,0.0081
2020-08-02,PB,Pitimbu,city,574,7,True,19065,2511905,3010.75269,0.0122
2020-08-02,PB,Pocinhos,city,119,1,True,18564,2512002,641.02564,0.0084
2020-08-02,PB,Poço Dantas,city,4,0,True,3888,2512036,102.88066,0.0
2020-08-02,PB,Poço de José de Moura,city,15,0,True,4307,2512077,348.27026,0.0
2020-08-02,PB,Pombal,city,365,2,True,32801,2512101,1112.77095,0.0055
2020-08-02,PB,Prata,city,5,0,True,4209,2512200,118.79306,0.0
2020-08-02,PB,Princesa Isabel,city,63,4,True,23345,2512309,269.86507,0.0635
2020-08-02,PB,Puxinanã,city,249,1,True,13680,2512408,1820.17544,0.004
2020-08-02,PB,Queimadas,city,927,7,True,43967,2512507,2108.39948,0.0076
2020-08-02,PB,Quixaba,city,27,1,True,1956,2512606,1380.3681,0.037
2020-08-02,PB,Remígio,city,224,3,True,19621,2512705,1141.63396,0.0134
2020-08-02,PB,Riachão,city,62,0,True,3588,2512747,1727.98216,0.0
2020-08-02,PB,Riachão do Bacamarte,city,215,0,True,4521,2512754,4755.58505,0.0
2020-08-02,PB,Riachão do Poço,city,84,2,True,4509,2512762,1862.94079,0.0238
2020-08-02,PB,Riacho de Santo Antônio,city,28,0,True,1948,2512788,1437.37166,0.0
2020-08-02,PB,Riacho dos Cavalos,city,11,0,True,8526,2512804,129.01712,0.0
2020-08-02,PB,Rio Tinto,city,944,20,True,24176,2512903,3904.69887,0.0212
2020-08-02,PB,Salgadinho,city,25,0,True,3885,2513000,643.50064,0.0
2020-08-02,PB,Salgado de São Félix,city,206,2,True,12140,2513109,1696.86985,0.0097
2020-08-02,PB,Santa Cecília,city,59,0,True,6558,2513158,899.66453,0.0
2020-08-02,PB,Santa Cruz,city,46,2,True,6583,2513208,698.76956,0.0435
2020-08-02,PB,Santa Helena,city,20,0,True,5889,2513307,339.61623,0.0
2020-08-02,PB,Santa Inês,city,48,0,True,3595,2513356,1335.18776,0.0
2020-08-02,PB,Santa Luzia,city,205,7,True,15382,2513406,1332.72656,0.0341
2020-08-02,PB,Santana de Mangueira,city,5,0,True,5162,2513505,96.86168,0.0
2020-08-02,PB,Santana dos Garrotes,city,17,0,True,7031,2513604,241.78637,0.0
2020-08-02,PB,Santa Rita,city,2332,133,True,136586,2513703,1707.34922,0.057
2020-08-02,PB,Santa Teresinha,city,52,0,True,4573,2513802,1137.10912,0.0
2020-08-02,PB,Santo André,city,14,0,True,2521,2513851,555.33518,0.0
2020-08-02,PB,São Bentinho,city,40,0,True,4529,2513927,883.19717,0.0
2020-08-02,PB,São Bento,city,1390,17,True,34031,2513901,4084.51118,0.0122
2020-08-02,PB,São Domingos,city,1,0,True,3073,2513968,32.54149,0.0
2020-08-02,PB,São Domingos do Cariri,city,43,1,True,2615,2513943,1644.35946,0.0233
2020-08-02,PB,São Francisco,city,33,1,True,3392,2513984,972.87736,0.0303
2020-08-02,PB,São João do Cariri,city,94,0,True,4199,2514008,2238.62824,0.0
2020-08-02,PB,São João do Rio do Peixe,city,204,3,True,18034,2500700,1131.19663,0.0147
2020-08-02,PB,São João do Tigre,city,8,0,True,4422,2514107,180.91361,0.0
2020-08-02,PB,São José da Lagoa Tapada,city,44,0,True,7630,2514206,576.67104,0.0
2020-08-02,PB,São José de Caiana,city,35,0,True,6359,2514305,550.40101,0.0
2020-08-02,PB,São José de Espinharas,city,28,0,True,4682,2514404,598.03503,0.0
2020-08-02,PB,São José de Piranhas,city,148,1,True,20251,2514503,730.82811,0.0068
2020-08-02,PB,São José de Princesa,city,2,0,True,4003,2514552,49.96253,0.0
2020-08-02,PB,São José do Bonfim,city,57,3,True,3557,2514602,1602.47399,0.0526
2020-08-02,PB,São José do Brejo do Cruz,city,9,0,True,1801,2514651,499.72238,0.0
2020-08-02,PB,São José do Sabugi,city,193,1,True,4141,2514701,4660.70997,0.0052
2020-08-02,PB,São José dos Cordeiros,city,32,0,True,3628,2514800,882.02867,0.0
2020-08-02,PB,São José dos Ramos,city,214,0,True,5957,2514453,3592.41229,0.0
2020-08-02,PB,São Mamede,city,39,3,True,7724,2514909,504.91973,0.0769
2020-08-02,PB,São Miguel de Taipu,city,119,4,True,7368,2515005,1615.09229,0.0336
2020-08-02,PB,São Sebastião de Lagoa de Roça,city,184,2,True,11661,2515104,1577.90927,0.0109
2020-08-02,PB,São Sebastião do Umbuzeiro,city,8,0,True,3489,2515203,229.29206,0.0
2020-08-02,PB,São Vicente do Seridó,city,46,0,True,10775,2515401,426.91415,0.0
2020-08-02,PB,Sapé,city,899,30,True,52625,2515302,1708.31354,0.0334
2020-08-02,PB,Serra Branca,city,130,2,True,13699,2515500,948.97438,0.0154
2020-08-02,PB,Serra da Raiz,city,18,0,True,3148,2515609,571.79161,0.0
2020-08-02,PB,Serra Grande,city,9,0,True,2909,2515708,309.38467,0.0
2020-08-02,PB,Serra Redonda,city,219,1,True,7041,2515807,3110.35364,0.0046
2020-08-02,PB,Serraria,city,128,1,True,6099,2515906,2098.70471,0.0078
2020-08-02,PB,Sertãozinho,city,129,0,True,5024,2515930,2567.67516,0.0
2020-08-02,PB,Sobrado,city,173,3,True,7783,2515971,2222.79327,0.0173
2020-08-02,PB,Solânea,city,326,2,True,26407,2516003,1234.52115,0.0061
2020-08-02,PB,Soledade,city,134,1,True,14989,2516102,893.98893,0.0075
2020-08-02,PB,Sossêgo,city,9,0,True,3555,2516151,253.16456,0.0
2020-08-02,PB,Sousa,city,1289,21,True,69444,2516201,1856.17188,0.0163
2020-08-02,PB,Sumé,city,201,1,True,16966,2516300,1184.72239,0.005
2020-08-02,PB,Tacima,city,113,1,True,10911,2516409,1035.65209,0.0088
2020-08-02,PB,Taperoá,city,67,2,True,15376,2516508,435.74402,0.0299
2020-08-02,PB,Tavares,city,81,2,True,14726,2516607,550.04753,0.0247
2020-08-02,PB,Teixeira,city,150,3,True,15161,2516706,989.38065,0.02
2020-08-02,PB,Tenório,city,14,0,True,3058,2516755,457.81557,0.0
2020-08-02,PB,Triunfo,city,42,2,True,9455,2516805,444.20941,0.0476
2020-08-02,PB,Uiraúna,city,57,1,True,15242,2516904,373.96667,0.0175
2020-08-02,PB,Umbuzeiro,city,72,2,True,9907,2517001,726.75886,0.0278
2020-08-02,PB,Várzea,city,14,0,True,2810,2517100,498.22064,0.0
2020-08-02,PB,Vieirópolis,city,4,0,True,5348,2517209,74.79432,0.0
2020-08-02,PB,Vista Serrana,city,3,0,True,3798,2505501,78.98894,0.0
2020-08-02,PB,Zabelê,city,22,0,True,2240,2517407,982.14286,0.0
